отзыв,категории
"Отличная ткань, очень приятная к телу.","ткань"
"Фасон сидит идеально!","дизайн"
"Качество пошива на высоте.","пошив"
"Материал совсем дешевый, быстро порвался.","ткань,качество"
"Слишком длинные рукава.","размер"
"Удобная и практичная повседневная вещь.","удобство"
"Цена слишком завышена.","цена"
"Размер соответствует.","размер"
"Красивая расцветка.","дизайн"
"Горизонтальный рисунок полнит.","дизайн"
"Мне маловато, нужно брать на размер больше.","размер"
"После стирки не садится.","ткань,качество"
"Отличный крой, скрывает недостатки фигуры.","дизайн"
"Швы не обработаны, могут расползтись.","пошив"
"Неудобный воротник.","удобство"
"Идеально для офиса.","дизайн"
"Быстро выцвел на солнце.","ткань,качество"
"За эти деньги можно найти лучше.","цена"
"Мягче не бывает.","ткань"
"Совсем не тянется.","ткань"
"Сидят как влитые.","дизайн"
"Карманы чисто декоративные.","дизайн,качество"
"Очень колючий материал.","ткань"
"Легко мнется.","ткань,качество"
"Отличный повседневный вариант.","дизайн"
"Маркий цвет.","дизайн,качество"
"Длина идеальная.","дизайн"
"Ткань пропускает ветер.","ткань"
"Хорошая молния.","качество"
"Понравилась всем друзьям.","дизайн"
"Слишком свободный крой.","размер,дизайн"
"Не греет, хотя заявлено как утепленное.","качество"
"Соответствует описанию на сайте.","качество"
"Быстро приехало.","доставка"
"Легко комбинируется с другой одеждой.","дизайн"
"Жмет в плечах.","размер"
"Отстирываются сложные пятна.","качество"
"Ткань шелестит.","ткань"
"Не для высоких людей.","размер"
"Слишком тонкая для зимы.","ткань"
"Отличный подарок.","дизайн"
"Пуговицы отлетают.","качество"
"Не выгорает.","ткань,качество"
"Слишком яркий цвет на фото.","дизайн"
"Укорочивается после стирки.","ткань,качество"
"Идеальная посадка по фигуре.","дизайн"
"Не тянется там, где нужно.","ткань"
"Выглядит дороже своей цены.","цена,дизайн"
"Отличный материал, но ужасный пошив - нитки торчат.","ткань,пошив"
"Стильный дизайн, но ткань очень колючая.","дизайн,ткань"
"Сидит идеально, но после первой же стирки полинял.","дизайн,ткань,качество"
"Цена адекватная, а качество пошива подкачало.","цена,пошив"
"Удобная и теплая, но цвет на фото был другой.","удобство,ткань,качество"
"Красиво смотрится, но совершенно не практично - мгновенно пачкается.","дизайн,качество"
"Размер в размер, но ткань слишком тонкая и просвечивает.","размер,ткань"
"Фасон скрывает недостатки, но очень длинные рукава.","дизайн,размер"
"Мягкая ткань, но молния постоянно заедает.","ткань,качество"
"Отличный крой и цена, но только для худых людей.","дизайн,цена,размер"
"Качественный пошив, удобно, но дизайн слишком простой.","пошив,удобство,дизайн"
"Теплая и по хорошей цене, но сильно садится при стирке.","удобство,цена,ткань,качество"
"Стильно и соответствует картинке, но маломерит.","дизайн,размер"
"Удобный воротник и хорошая ткань, но быстро выцвел.","удобство,ткань,качество"
"Идеально для офиса, отличный фасон, но дороговато.","дизайн,цена"
"Мягкая, приятная, но тянется и теряет форму.","ткань,качество"
"Крой идеальный, материал шикарный, но пуговицы отвалились.","дизайн,ткань,качество"
"Недорого и смотрится хорошо, но очень маркая.","цена,дизайн,качество"
"Теплая, удобная, размер подошел, но нитки по швам расползаются.","удобство,размер,пошив"
"Выглядит солидно, ткань плотная, но тяжелая и неудобная в движении.","дизайн,ткань,удобство"
"Цвет прекрасный, садится хорошо, но после стирки появились катышки.","дизайн,ткань,качество"
"Сделано качественно, карманы удобные, но фасон полнит.","пошив,удобство,дизайн"
"Упаковка была повреждена, но товар в порядке. Сам товар - ткань приятная, но коротковат.","доставка,ткань,размер"
"Быстрая доставка, соответствует описанию, но на деле ткань жестковата.","доставка,качество,ткань"
"Стильная и универсальная вещь, подошла по размеру, но швы разочаровали.","дизайн,размер,пошив"
"За такую цену - просто супер: и модно, и удобно, и пошито хорошо.","цена,дизайн,удобство,пошив"
"Отличный повседневный вариант, ткань дышащая, но цвет выцвел после двух стирок.","дизайн,ткань,качество"
"Отличная ткань, очень приятная к телу, не мнется","ткань"
"Размер соответствует, сидит идеально","размер"
"Качество пошива высокое, швы аккуратные","пошив"
"Дизайн стильный, всем понравился","дизайн"
"Цена адекватная за такое качество","цена"
"Удобно носить, не сковывает движения","удобство"
"Быстрая доставка, упаковка целая","доставка"
"Ткань дешевая, быстро порвалась","ткань"
"Мне маловато, нужно брать на размер больше","размер"
"После стирки не садится, цвет не линяет","ткань"
"Отличный крой, скрывает недостатки фигуры","дизайн"
"Швы не обработаны, могут расползтись","пошив"
"Неудобный воротник, натирает шею","удобство"
"Идеально для офиса, смотрится строго","дизайн"
"Быстро выцвел на солнце, потерял вид","ткань"
"За эти деньги можно найти лучше","цена"
"Мягче не бывает, очень приятный материал","ткань"
"Совсем не тянется, ограничивает движения","ткань"
"Сидят как влитые, идеальная посадка","дизайн"
"Карманы чисто декоративные, невозможно использовать","качество"
"Очень колючий материал, раздражает кожу","ткань"
"Легко мнется, нужно постоянно гладить","ткань"
"Отличный повседневный вариант, универсальный","дизайн"
"Маркий цвет, быстро пачкается","качество"
"Длина идеальная, не коротко и не длинно","дизайн"
"Ткань пропускает ветер, не греет","ткань"
"Хорошая молния, не заедает","качество"
"Понравилась всем друзьям, спрашивали где купить","дизайн"
"Слишком свободный крой, выглядит мешковато","размер"
"Не греет, хотя заявлено как утепленное","качество"
"Соответствует описанию на сайте","качество"
"Быстро приехало, раньше срока","доставка"
"Легко комбинируется с другой одеждой","дизайн"
"Жмет в плечах, неудобно двигаться","размер"
"Отстирываются сложные пятна, не остается следов","качество"
"Ткань шелестит, раздражает при ходьбе","ткань"
"Не для высоких людей, коротковато","размер"
"Слишком тонкая для зимы, продувает","ткань"
"Отличный подарок, красиво упаковано","дизайн"
"Пуговицы отлетают, плохо пришиты","качество"
"Не выгорает, цвет как новый","ткань"
"Слишком яркий цвет на фото, в жизни тусклее","качество"
"Укоротилось после стирки, стало мало","ткань"
